cell_id,lon,lat,DD35,HDW,tmax_mean,tmin_mean,tmean_mean,tmax_p95,tmin_p05,radn_mean,rain_sum,rain_p95,rh_mean,wind_mean,wind_p95,Yield_pred_t_ha,Fail
EGF_000488,27.25322265625,22.444873046875,268.439058463994,40.2201475232672,33.4008388543572,17.7956925889198,25.5982657216385,40.5067964475,8.00327552582491,27.1589548642659,1.89433178775015,0.0017758342479532,33.610035855597,3.26442117377614,4.74518395031154,0.647445047710606,TRUE
EGF_000489,27.35322265625,22.444873046875,268.4863028799,40.2141417344793,33.4015036333695,17.7949247148909,25.5982141741302,40.5069499475561,8.00237013882151,27.1591279392985,1.88998651741743,0.00176767561177822,33.606770267935,3.26486018527376,4.74557947619951,0.647445047710606,TRUE
EGF_000490,27.45322265625,22.444873046875,268.536586892307,40.2080496102687,33.4021935520342,17.7941174492047,25.5981555006195,40.5071250875183,8.00147425328436,27.1592665863741,1.88564693697659,0.00175977706829065,33.6040494481239,3.26531571011043,4.74599310422715,0.647445047710606,TRUE
EGF_000491,27.55322265625,22.444873046875,273.774804714019,41.4491579483297,33.4758821524912,17.8610011781744,25.6684416653328,40.5730425935969,7.9831713888825,27.2117142093288,1.73446909704932,0.000878395402760924,32.690864599618,3.27386087749474,4.75259701493084,0.613844417786556,TRUE
EGF_000492,27.65322265625,22.444873046875,273.867610728586,41.4481763220714,33.477066189496,17.860410546868,25.668738368182,40.5737637422007,7.98249364331718,27.2118727558419,1.73174521215148,0.000872033036594629,32.6902653989751,3.27453044002327,4.75320958714765,0.613844417786556,TRUE
EGF_000493,27.75322265625,22.444873046875,266.302010738853,39.5591849641464,33.4004204851324,17.7994643714187,25.5999424282755,40.4966383473483,7.92648907254691,27.2260993078098,1.86486635957632,0.00086740004525893,32.8826100203816,3.28912105961758,4.76597844185133,0.590217367041717,TRUE
EGF_000494,27.85322265625,22.444873046875,299.431617851566,45.4340601946618,33.721958774038,18.1368661897889,25.9294124819134,40.7538640968274,8.20242627540878,27.1965498610472,1.55338630958559,0,31.4834494004465,3.30519054369788,4.81783873379542,0.687580352686394,TRUE
EGF_000495,27.95322265625,22.444873046875,300.209546533467,45.5480527489198,33.7295055447894,18.1424293945456,25.9359674696675,40.7600203818721,8.20850411849684,27.1949352984434,1.55070050877661,0,31.4786973253105,3.30631678055664,4.81962085602725,0.687095162587975,TRUE
EGF_000496,28.05322265625,22.444873046875,301.024907525781,45.6679695685908,33.7374028728155,18.1483164344891,25.9428596536523,40.7664729531707,8.21492595514941,27.1932338422257,1.54801465322383,0,31.4736113081589,3.30748237651956,4.82148256355168,0.686236216253926,TRUE
EGF_000497,28.15322265625,22.444873046875,301.879131133277,45.7940865090662,33.7456637286918,18.1545448664534,25.9501042975726,40.773233170207,8.22170836014613,27.1914426291563,1.54533357686245,0,31.4681529213602,3.30868723335878,4.82342557652277,0.686236216253926,TRUE
EGF_000498,28.25322265625,22.444873046875,302.773706484182,45.9266909750626,33.7543016240214,18.161132983998,25.9577173040097,40.7803128223415,8.22886858585086,27.189558705265,1.54266176591713,0,31.4622816811079,3.30993123710569,4.82545166790442,0.713672644033114,TRUE
EGF_000499,28.35322265625,22.444873046875,303.71018301666,46.0660819802174,33.7633306263697,18.1680998146151,25.9657152204924,40.7877241343691,8.23642456610075,27.1875790211175,1.54000329329209,0,31.4559550724916,3.31121426387555,4.82756267124208,0.713846452396574,TRUE
EGF_000500,28.45322265625,22.444873046875,304.690171608271,46.212570135233,33.7727653708247,18.1754651126125,25.9741152417186,40.7954797692115,8.24439491620306,27.1855004274273,1.53736175566857,0,31.4491285847497,3.31253618569638,4.82976048821003,0.710717680505078,TRUE
